ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"79.132.200.122","elite","AS202391","IR","Cooperative Afra ertebatat-e-sabet-e Rasa Co","244","Fanaptelecom Network","4145","socks4","1097","1","2023-03-07T05:08:30.372Z","54","583","1074"
"43.157.45.185","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","10","Tencent Cloud Computing","443","socks4","1205","1","2023-03-07T05:08:29.939Z","8","90","1149"
"203.223.44.102","elite","AS17726","KH","Telecom Cambodia (T.C.)","291","N/A","53945","socks4","1140","1","2023-03-07T05:08:29.553Z","99","1181","1194"
"114.69.244.66","elite","AS18002","IN","World Phone Internet Service Pvt. Ltd.","151","N/A","60616","socks4","1135","1","2023-03-07T05:08:29.221Z","99","1189","1196"
"47.243.168.116","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","243","Alibaba.com LLC","25812","socks5","1150","1","2023-03-07T05:08:29.221Z","100","1074","1079"
"220.175.145.253","elite","AS4134","CN","Chinanet","218","Chinanet JX","9999","socks4","1216","1","2023-03-07T05:08:29.938Z","54","627","1157"
"119.197.0.17","elite","AS4766","KR","Korea Telecom","228","Kornet","4145","socks4","1166","1","2023-03-07T05:08:29.220Z","99","1188","1196"
"75.119.203.210","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks4","1300","1","2023-03-07T05:08:29.191Z","100","1172","1172"
"62.201.233.59","elite","AS44217","IQ","NETWORKS-FTTH1","78","N/A","4145","socks4","1152","1","2023-03-07T05:08:29.553Z","99","1188","1194"
"51.15.182.240","elite","AS12876","FR","SCALEWAY","1","ONLINE","5836","socks4","1147","1","2023-03-07T05:08:29.575Z","100","1190","1190"
"189.174.143.230","elite","AS8151","MX","Uninet S.A. de C.V","148","Gestión de direccionamiento UniNet","4145","socks4","1185","1","2023-03-07T05:08:29.552Z","99","1178","1193"
"177.66.59.130","elite","AS28198","BR","Sempre Telecomunicacoes Ltda","521","Sempre Telecomunicacoes Ltda","4153","socks4","1174","1","2023-03-07T05:08:29.194Z","87","970","1121"
"123.171.42.218","elite","AS4134","CN","Chinanet","240","Chinanet SD","2829","socks4","1202","1","2023-03-07T05:08:29.220Z","82","890","1079"
"185.162.229.215","elite","AS209242","GB","Cloudflare London, LLC","1","Softconstruct Limited","80","socks4","1307","1","2023-03-07T05:08:29.214Z","100","1174","1176"
